ablation,setting,seed,survivable,latency,lam2,energy,budget
A_components,warm-start+pull,24,1.0,67,,,
B_weight,W=0,24,1.0,,0.04402632716764867,,
B_weight,W=1,24,1.0,,0.03528197530268748,,
B_weight,W=2,24,1.0,,0.03231511004225396,,
B_weight,W=5,24,0.9779411764705882,,0.0360713257408186,,
C_budget,frac=0.025,24,0.9264705882352942,,,0.45017119697599356,0.3643570058837611
C_budget,frac=0.035,24,1.0,,,0.5016765478662311,0.5100998082372655
C_budget,frac=0.05,24,1.0,,,0.6848012966211998,0.7287140117675222
C_budget,frac=0.07,24,1.0,,,1.01775381310627,1.020199616474531
A_components,none,25,0.9191176470588235,120,,,
A_components,warm-start,25,0.9191176470588235,120,,,
A_components,warm-start+pull,25,0.9338235294117647,120,,,
B_weight,W=0,25,0.9338235294117647,,0.033292413388175984,,
B_weight,W=1,25,0.9338235294117647,,0.033292413388175984,,
B_weight,W=2,25,0.9338235294117647,,0.033292413388175984,,
B_weight,W=5,25,0.9338235294117647,,0.033292413388175984,,
C_budget,frac=0.025,25,0.9338235294117647,,,0.7904942118328799,0.36181840259971576
C_budget,frac=0.035,25,0.9338235294117647,,,0.7904942118328799,0.5065457636396021
C_budget,frac=0.05,25,0.9338235294117647,,,0.7904942118328799,0.7236368051994315
C_budget,frac=0.07,25,0.9926470588235294,,,0.9707650091711331,1.0130915272792043
A_components,none,28,1.0,66,,,
A_components,warm-start,28,0.9632352941176471,38,,,
A_components,warm-start+pull,28,1.0,38,,,
B_weight,W=0,28,1.0,,0.040159551741995564,,
B_weight,W=1,28,1.0,,0.04396647570774574,,
B_weight,W=2,28,1.0,,0.04787931787508557,,
B_weight,W=5,28,0.9926470588235294,,0.05710339979330301,,
C_budget,frac=0.025,28,0.9264705882352942,,,0.27861624534929946,0.32322705683902025
C_budget,frac=0.035,28,1.0,,,0.4393196465398943,0.45251787957462836
C_budget,frac=0.05,28,1.0,,,0.6425639834606198,0.6464541136780405
C_budget,frac=0.07,28,1.0,,,0.8296526595839071,0.9050357591492567
A_components,none,27,0.9705882352941176,120,,,
A_components,warm-start,27,0.9705882352941176,120,,,
A_components,warm-start+pull,27,0.9705882352941176,120,,,
